## temp 24
2026-07-13T22:01:39.211254+00:00 22830 C:\Users\theai\AppData\Local\Temp\164e7e66-e954-47cd-948b-c48f3d87b8a0.tmp | e6
2026-07-09T00:17:39.978920+00:00 3210 D:\Projects\non_associative_ai_claude\make_ladder_figure.py | e6
## other_user 22
2026-07-13T14:24:39.316088+00:00 1363 C:\Users\theai\AppData\Local\hermes\profiles\d-drive-profile\personal\e6_pivot_gate\results\rg_selector_audit.json | e6
2026-07-13T14:24:39.316088+00:00 1430 C:\Users\theai\AppData\Local\hermes\profiles\d-drive-profile\personal\e6_pivot_gate\results\rg_selector_audit_run.txt | e6
2026-07-13T14:24:39.208445+00:00 2383 C:\Users\theai\AppData\Local\hermes\profiles\d-drive-profile\personal\e6_pivot_gate\results\C_boundary_audit_run.txt | e6
2026-07-13T14:24:39.207448+00:00 2308 C:\Users\theai\AppData\Local\hermes\profiles\d-drive-profile\personal\e6_pivot_gate\results\C_boundary_audit.json | e6
2026-07-13T14:24:27.370499+00:00 14914 C:\Users\theai\AppData\Local\hermes\profiles\d-drive-profile\personal\e6_pivot_gate\e6_pivot_gate.md | 1311.0775,1504.00904,351',doublet mass matrix,e6
2026-07-13T14:24:13.075259+00:00 3847 C:\Users\theai\AppData\Local\hermes\profiles\d-drive-profile\personal\e6_pivot_gate\scripts\audit_C_boundary.py | e6
2026-07-13T14:13:47.876172+00:00 2743 C:\Users\theai\AppData\Local\hermes\profiles\d-drive-profile\personal\e6_pivot_gate\scripts\audit_rg_selector.py | e6
2026-07-13T13:39:55.735546+00:00 33744 C:\Users\theai\AppData\Local\hermes\profiles\d-drive-profile\personal\g2_sm_flux_search\sources\arxiv_abstracts.json | e6,neutrino
2026-07-13T13:37:50.305780+00:00 8880 C:\Users\theai\AppData\Local\hermes\profiles\d-drive-profile\personal\g2_sm_flux_search\first_candidate_gate.md | neutrino
2026-07-13T13:27:10.935507+00:00 29390 C:\Users\theai\AppData\Local\hermes\profiles\d-drive-profile\personal\g2_sm_flux_search\sources\hep-th-0107143.txt | neutrino
2026-07-13T13:20:49.893774+00:00 99015 C:\Users\theai\AppData\Local\hermes\profiles\d-drive-profile\personal\g2_sm_flux_search\sources\1811.00063.txt | e6
2026-07-13T13:05:05.743049+00:00 118874 C:\Users\theai\AppData\Local\hermes\profiles\d-drive-profile\personal\g2_sm_flux_search\sources\1708.07215.txt | e6
2026-07-13T12:55:24.757416+00:00 95237 C:\Users\theai\AppData\Local\hermes\profiles\d-drive-profile\personal\g2_sm_flux_search\sources\2002.11820.txt | e6,neutrino
2026-07-13T12:46:17.985113+00:00 4336 C:\Users\theai\AppData\Local\hermes\profiles\d-drive-profile\personal\g2_sm_flux_search\README.md | neutrino
2026-07-12T15:13:17.675748+00:00 124415 C:\Users\theai\Desktop\lead_up_to_missing_gate_c.txt | e6
2026-07-12T14:19:58.766550+00:00 459453 C:\Users\theai\Desktop\glm_chat.txt | neutrino
2026-07-12T13:50:37.120389+00:00 637478 C:\Users\theai\Downloads\flavor-higgs-lagrangian-framework-20260712.json | e6,neutrino
2026-07-12T13:50:11.226453+00:00 528082 C:\Users\theai\Downloads\su-3-reduction-of-octonions-20260711.json | e6
2026-07-12T13:49:57.294676+00:00 395954 C:\Users\theai\Downloads\higgs-wedge-frame-optimization-output-search-20260712.json | e6
2026-07-11T21:33:37.877979+00:00 7082 C:\Users\theai\AppData\Local\hermes\profiles\d-drive-profile\personal\make_flavor_paper_figures.py | e6
2026-07-11T21:15:44.306983+00:00 12648 C:\Users\theai\AppData\Local\hermes\profiles\d-drive-profile\personal\brief_gate_c_multisector_unification_handoff.md | neutrino
2026-07-09T16:41:07.172191+00:00 13657 C:\Users\theai\AppData\Local\hermes\profiles\d-drive-profile\personal\claude_handoff_g2wave_hyperfanomem.md | e6
## e6_personal_non_source 7
2026-07-13T14:24:39.316088+00:00 1363 C:\Users\theai\AppData\Local\hermes\profiles\d-drive-profile\personal\e6_pivot_gate\results\rg_selector_audit.json | e6
2026-07-13T14:24:39.316088+00:00 1430 C:\Users\theai\AppData\Local\hermes\profiles\d-drive-profile\personal\e6_pivot_gate\results\rg_selector_audit_run.txt | e6
2026-07-13T14:24:39.208445+00:00 2383 C:\Users\theai\AppData\Local\hermes\profiles\d-drive-profile\personal\e6_pivot_gate\results\C_boundary_audit_run.txt | e6
2026-07-13T14:24:39.207448+00:00 2308 C:\Users\theai\AppData\Local\hermes\profiles\d-drive-profile\personal\e6_pivot_gate\results\C_boundary_audit.json | e6
2026-07-13T14:24:27.370499+00:00 14914 C:\Users\theai\AppData\Local\hermes\profiles\d-drive-profile\personal\e6_pivot_gate\e6_pivot_gate.md | 1311.0775,1504.00904,351',doublet mass matrix,e6
2026-07-13T14:24:13.075259+00:00 3847 C:\Users\theai\AppData\Local\hermes\profiles\d-drive-profile\personal\e6_pivot_gate\scripts\audit_C_boundary.py | e6
2026-07-13T14:13:47.876172+00:00 2743 C:\Users\theai\AppData\Local\hermes\profiles\d-drive-profile\personal\e6_pivot_gate\scripts\audit_rg_selector.py | e6
